host,group,mode,size_kib,unit,median_change_percent,percentile_bands_overlap,coarse_mean,refinement_mean,coarse_median,refinement_median,coarse_stddev,refinement_stddev,coarse_q1,refinement_q1,coarse_q3,refinement_q3,coarse_p5,refinement_p5,coarse_p95,refinement_p95,coarse_outliers,refinement_outliers,coarse_zeros,refinement_zeros
artemisia,middle,sequential,1024.0,TSC ticks/access,-0.07616726331023393,True,6.453447411132813,6.432797078613281,6.41064453125,6.40576171875,1.9224452184763765,1.4677640366472045,6.4013671875,6.39892578125,6.4169921875,6.412109375,6.39599609375,6.39599609375,6.57080078125,6.416015625,146754,19761,0,0
artemisia,middle,sequential,2048.0,TSC ticks/access,1.4885382554331583,True,8.209753756347656,8.38424508544922,8.20068359375,8.32275390625,2.106397712242418,2.5090573826370557,7.83642578125,7.7998046875,8.55517578125,8.87939453125,7.37353515625,7.10595703125,9.08984375,9.76171875,7946,8817,0,0
artemisia,middle,sequential,4096.0,TSC ticks/access,0.3718648627264898,True,12.351162223632812,12.4460497265625,12.3427734375,12.388671875,5.841374407424035,6.066018283571748,12.23828125,12.35546875,12.3984375,12.41845703125,12.02197265625,12.29736328125,12.48583984375,12.47119140625,65964,47365,0,0
artemisia,large,random,8192.0,TSC ticks/access,17.77127365172282,False,52.37281180175781,61.68476947167969,52.05029296875,61.30029296875,10.773713114551748,5.313895688903759,51.71533203125,60.85009765625,52.60009765625,62.0009765625,51.30322265625,60.3701171875,53.96923828125,63.7861328125,52246,52207,0,0
artemisia,large,random,16384.0,TSC ticks/access,-2.7889098393951706,True,89.64412868457032,82.0703007680664,80.53662109375,78.29052734375,24.62811759795746,11.664544759904755,77.06884765625,76.3740234375,94.08056640625,83.22509765625,75.40283203125,75.29638671875,134.74560546875,101.29396972656247,91581,103857,0,0
artemisia,large,random,32768.0,TSC ticks/access,-10.579342919700075,True,176.64436175683593,157.57655835205077,170.15673828125,152.1552734375,38.36433751546405,31.21890273560253,144.13232421875,131.8046875,205.65380859375,176.7056884765625,129.41650390625,123.3837890625,240.49072265625,213.94389648437493,344,4817,0,0
artemisia,large,random,65536.0,TSC ticks/access,-6.703238428873881,True,242.55712924658204,227.10220049560547,243.0830078125,226.78857421875,25.176251534397753,22.70655245816776,226.61181640625,208.47607421875,258.82373046875,243.30224609375,213.91455078125,198.005859375,267.5595703125,259.83596191406247,1235,1009,0,0
artemisia,large,random,131072.0,TSC ticks/access,-9.307111333626716,False,273.46845030712893,247.74331815234376,274.05224609375,248.5458984375,14.448389940754854,13.356614671242939,268.6258544921875,243.05615234375,277.85400390625,252.490234375,261.61376953125,233.98681640625,282.73146972656247,257.765625,6052,19162,0,0
artemisia,large,sequential,8192.0,TSC ticks/access,0.019864129355218196,True,12.348075124511718,12.33987461767578,12.29052734375,12.29296875,2.864416398861898,2.5568907910808885,12.26416015625,12.26708984375,12.3193359375,12.31689453125,12.22021484375,12.221166992187502,12.47265625,12.376953125,84529,57786,0,0
artemisia,large,sequential,16384.0,TSC ticks/access,1.666338388812294,True,14.357777361816407,13.507429401367187,12.39501953125,12.6015625,5.392322496286042,3.469726506076964,12.306640625,12.3896484375,12.96923828125,13.30810546875,12.25537109375,12.29541015625,27.7275390625,17.8115234375,178274,124424,0,0
